file_name,category,file_size_mb,status,flagged,score,method_mismatch,data_entropy_shannon,data_entropy_renyi,eocd_count,any_crc_mismatch,is_encrypted,lf_compression_method,cd_compression_method,declared_vs_entropy_flag,lf_unknown_method,suspicious_entry_count,suspicious_entry_ratio,error,file_path,entropy_variance,entry_count,file_size_bytes,lf_crc_valid
metasploit_6415_src,security_tools,79.75751113891602,ok,False,0.0006400278070941567,False,7.9993,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/metasploit_6415_src.zip,7.992,15801,83631812,False
numpy_1264_src,python_source,9.603014945983887,ok,False,0.000597782782278955,False,7.9985,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/numpy_1264_src.zip,4.9414,2296,10069491,False
openapi_generator_750_src,openapi,66.0764102935791,ok,False,0.0006400278070941567,False,7.9994,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/openapi_generator_750_src.zip,7.731,51434,69286138,False
packer_1103_win64,packer,15.21415901184082,ok,False,0.0023338189348578453,False,-0.0,-0.0,1,True,False,8,8,False,0,0,0.0,,data/benign_realworld/packer_1103_win64.zip,0.0,2,15953202,True
python311_embed_amd64,python_runtime,10.727904319763184,ok,False,0.11136411875486374,False,7.9996,7.9833,1,False,False,8,8,False,0,127,0.7888,,data/benign_realworld/python311_embed_amd64.zip,0.0255,161,11249023,True
python312_embed_amd64,python_runtime,10.543309211730957,ok,False,0.11136411875486374,False,7.9996,7.9848,1,False,False,8,8,False,0,119,0.7727,,data/benign_realworld/python312_embed_amd64.zip,0.0295,154,11055461,True
python312_embed_win32,python_runtime,9.433454513549805,ok,False,0.11136411875486374,False,7.9996,7.9839,1,False,False,8,8,False,0,119,0.7778,,data/benign_realworld/python312_embed_win32.zip,0.0297,153,9891694,True
react_1831_src,javascript_source,7.441418647766113,ok,False,0.0006400278070941567,False,7.9999,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/react_1831_src.zip,7.4398,2874,7802893,False
selenium_java_4210,selenium,30.50328254699707,ok,False,0.004140555392950773,False,7.9949,4.1362,82,True,False,0,0,True,0,158,0.0091,,data/benign_realworld/selenium_java_4210.zip,6.2238,17450,31985010,True
sklearn_150_src,python_source,8.181325912475586,ok,False,0.000597782782278955,False,7.9987,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/sklearn_150_src.zip,7.477,1613,8578742,False
