model,accuracy,precision,recall,f1,TP,FP,TN,FN,roc_auc
Rule-based baseline,0.89,0.8792,0.863,0.871,233,32,325,37,
ZombieGuard LightGBM,1.0,1.0,1.0,1.0,270,0,357,0,1.0
