source_table,model,accuracy,precision,recall,f1,TP,FP,TN,FN,roc_auc,group,removed_features,delta_vs_full_model,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_auc_mean,variant,name,n_total,n_test,mean_prob,fn_mean_prob,primary_feature,window,n_malicious,n_benign,auc,tp,fp,fn,tn,rank,feature,class,n,mean,std,pct_above_threshold,family,samples_scanned,evasion_detected,evasion_rate_pct,filename,predicted_probability,lf_compression_method,cd_compression_method,method_mismatch,data_entropy_shannon,data_entropy_renyi,declared_vs_entropy_flag,eocd_count,lf_unknown_method,suspicious_entry_count,suspicious_entry_ratio,any_crc_mismatch,is_encrypted,Attack,Strategy,Features Neutralized,Evasion (ML only),Evasion (Hybrid),Residual weakness,attack,parameter,n_decoys,features_neutralized,prob_ml_only,detected_ml_only,evasion_ml_only,prob_hybrid,detected_hybrid,evasion_hybrid,lf_method,cd_method,deflate_level,payload_entropy,format,samples,malicious,benign,cv_recall,cv_recall_ci,file_path,file_size_kb,prediction,prob_benign,prob_malicious,is_false_positive,held_out_family,train_rows,test_positive_rows,test_negative_rows,false_positive_rate,train_dataset,test_dataset,synthetic_mal_mean,synthetic_mal_std,real_mal_mean,real_mal_std,ks_statistic,ks_p_value,mean_abs_diff
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spam-ita,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endesa2026,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crewldmainnew-com,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formbook,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Api-devx-help,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fake-7-zip,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Msi-stego,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pw-123,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malwaremustdie,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donutloader,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asgardprotector,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braodo,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirai,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheetrat,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pw-cyrex,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Njrat,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dropped-by-acrstealer,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webdot-ddns-net,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crashfix,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lumma,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bot8705156458,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bambooware-ru,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amadey,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin-diversifiedfireprotection-top,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138f52,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ato,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asyncrat,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arechclient2,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkanixstealer,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claude-update-version-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corehub-org,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matanbuchus,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandatechgroup-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lua,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luckyware,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerrymac2008-duckdns-org,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hun,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Github-com--denboss99,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Github-com--jenazzz,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filebulldogs-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gh0strat,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Github-com--adyvot,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cbzr-98pq1-ydns-eu,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlessclapped-com,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catalogo-castrouria-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Btmob,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D429b4,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cobaltstrike,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rclone-stealer-mega,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rat,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quasarrat,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muddywater,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nanafafa-myvnc-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osx,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reparertelephone-fr,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Res2erch-sl0ut-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room155,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sars-letter,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scarfacestealer,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ukr,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terndoor,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Then-hclientesbr-com,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_fn_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zombie_C_gootloader_0103.zip,0.3159,8.0,8.0,0.0,7.9615,5.0924,0.0,7.0,0.0,2.0,0.0769,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 — Entropy Dilution (N≤10),Add low-entropy benign entries,suspicious_entry_ratio ↓,0%,0%,None at N≤10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 — Entropy Dilution (N≥50),Add 50+ low-entropy entries,ratio → 0.02,100%,0%,Fixed by Rule 1 (mismatch + entropy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 — Method Harmonization,"Set LFH=CDH=STORE, keep payload compressed",method_mismatch = 0,100%,0%,Fixed by Rule 2 (STORE + high entropy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 — Entropy Camouflage (N≤10),Add high-entropy consistent entries,suspicious_entry_ratio ↓,0%,0%,None at N≤10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 — Entropy Camouflage (N≥50),Add 50+ high-entropy entries,ratio → 0.02,100%,0%,Fixed by Rule 1 (mismatch + entropy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_adversarial_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 — Entropy Threshold (all levels),DEFLATE level 1–9,none — entropy stays ≥7.95,0%,0%,Never a threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.5,,,,,,,,,Entropy Dilution,N=1,1.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.0909,,,,,,,,,Entropy Dilution,N=10,10.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.0196,,,,,,,,,Entropy Dilution,N=50,50.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.0099,,,,,,,,,Entropy Dilution,N=100,100.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.002,,,,,,,,,Entropy Dilution,N=500,500.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.001,,,,,,,,,Entropy Dilution,N=1000,1000.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9019,,1.0,,,,,,,,,,,,,Method Harmonization,Variant A baseline,,none,1.0,True,False,1.0,True,False,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.9019,,1.0,,,,,,,,,,,,,Method Harmonization,Both STORE (attack),,method_mismatch,0.0,False,True,1.0,True,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.9019,,0.0,,,,,,,,,,,,,Method Harmonization,Both DEFLATE (ctrl),,method_mismatch,0.0,False,True,0.0,False,True,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9156,,,,,1.0,0.5,,,,,,,,,Entropy Camouflage,N=1,1.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9152,,,,,1.0,0.0909,,,,,,,,,Entropy Camouflage,N=10,10.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9225,,,,,1.0,0.0196,,,,,,,,,Entropy Camouflage,N=50,50.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9304,,,,,1.0,0.0099,,,,,,,,,Entropy Camouflage,N=100,100.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=1,,none,1.0,True,False,1.0,True,False,,,1.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=2,,none,1.0,True,False,1.0,True,False,,,2.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=3,,none,1.0,True,False,1.0,True,False,,,3.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=6,,none,1.0,True,False,1.0,True,False,,,6.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=9,,none,1.0,True,False,1.0,True,False,,,9.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.9868,0.9962,0.9778,0.9869,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIP,530.0,270.0,260.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIP,530.0,270.0,260.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.9525,0.9132,1.0,0.9547,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APK,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APK,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.57,1.0,0.14,0.2456,,,,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAR,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,0.5,0.5,1.0,0.6667,,,,,0.2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAR,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.79,1.0,0.58,0.7342,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7z,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,0.5,0.5,1.0,0.6667,,,,,0.2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7z,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
