model,accuracy,precision,recall,f1,TP,FP,TN,FN,roc_auc
Rule-based baseline,0.89,0.8792,0.863,0.871,233,32,325,37,
ZombieGuard XGBoost,0.9984,1.0,0.9963,0.9981,269,0,357,1,1.0
